City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
18,Nikolskoye,RU,10.29,overcast clouds,59.7035,30.7861,Tourist House - Sablino
34,Upernavik,GL,6.82,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
49,Xining,CN,28.31,clear sky,36.6167,101.7667,Super Leisure Hotel
58,Tuktoyaktuk,CA,12.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
65,Iqaluit,CA,6.53,light snow,63.7506,-68.5145,Frobisher Inn
72,Finnsnes,NO,19.36,clear sky,69.2296,17.9811,Finnsnes Hotel - A SNR Hotel
80,Lisakovsk,KZ,9.14,overcast clouds,52.5369,62.4936,Gostinitsa Lisakovsk
82,Mason City,US,28.67,broken clouds,43.1536,-93.201,Days Inn by Wyndham Mason City
89,Ilulissat,GL,7.84,overcast clouds,69.2167,-51.1,Hotel Arctic
108,Fort Nelson,CA,6.39,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
117,Longyearbyen,SJ,24.64,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
121,Kenora,CA,10.38,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
123,Priargunsk,RU,6.22,overcast clouds,50.3691,119.1012,24 Chasa
125,Qaanaaq,GL,7.29,few clouds,77.484,-69.3632,Qaanaaq Hotel
130,Jamestown,US,29.08,light snow,42.097,-79.2353,Hampton Inn & Suites Jamestown
150,Poronaysk,RU,15.46,broken clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
152,Altay,CN,23.83,light snow,47.8667,88.1167,Jinqiao Hotel
158,Yellowknife,CA,6.42,light snow,62.456,-114.3525,The Explorer Hotel
159,Husavik,IS,17.51,scattered clouds,66.0449,-17.3389,Bjarnabúð
160,Lewisporte,CA,29.91,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
162,Clyde River,CA,7.03,scattered clouds,70.4692,-68.5914,Qamaq Hotel
165,Ulan-Ude,RU,3.09,scattered clouds,51.8261,107.6098,Baikal Plaza
166,Saint Anthony,US,20.84,broken clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
