City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavieng,PG,-2.5744,150.7967,80.4,86,100,21.14,moderate rain
1,Hualmay,PE,-11.0964,-77.6139,70.45,78,87,9.93,overcast clouds
2,Torbay,CA,47.6666,-52.7314,35.67,76,90,14.97,overcast clouds
3,Nioro,GM,13.35,-15.75,84.16,16,97,4.68,overcast clouds
4,Harper,LR,4.375,-7.7169,80.29,82,59,9.82,broken clouds
5,Kingaroy,AU,-26.5333,151.8333,66.24,100,90,0.0,overcast clouds
6,Barrow,US,71.2906,-156.7887,-2.16,96,100,17.27,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,60.91,31,0,8.05,clear sky
8,Port Hardy,CA,50.6996,-127.4199,42.8,81,75,14.97,light intensity shower rain
9,Rikitea,PF,-23.1203,-134.9692,75.76,66,66,20.15,broken clouds
10,Praia,CV,14.9215,-23.5087,73.94,73,0,14.97,clear sky
11,Mar Del Plata,AR,-38.0023,-57.5575,71.62,87,0,24.0,clear sky
12,Mataura,NZ,-46.1927,168.8643,52.48,80,90,2.33,overcast clouds
13,Leningradskiy,RU,69.3833,178.4167,-8.12,94,100,16.82,overcast clouds
14,Bokaa,BW,-24.45,26.0167,72.09,68,0,10.36,clear sky
15,Axim,GH,4.8699,-2.2405,80.02,83,6,7.43,clear sky
16,Busselton,AU,-33.65,115.3333,77.04,47,1,10.67,clear sky
17,Tikrit,IQ,34.6071,43.6782,60.6,50,11,10.56,few clouds
18,Nikolskoye,RU,59.7035,30.7861,10.29,100,93,3.13,overcast clouds
19,Pisco,PE,-13.7,-76.2167,73.45,68,0,14.97,clear sky
20,Chuy,UY,-33.6971,-53.4616,69.96,63,1,12.06,clear sky
21,Chik,RU,54.9928,82.4311,-6.05,77,90,8.95,light snow
22,Port Alfred,ZA,-33.5906,26.891,69.12,95,100,13.4,light rain
23,Talavera De La Reina,ES,39.9635,-4.8308,41.04,84,60,5.97,broken clouds
24,Coquimbo,CL,-29.9533,-71.3436,65.93,63,0,13.8,clear sky
25,Lebu,CL,-37.6167,-73.65,61.7,75,10,18.66,clear sky
26,Ushuaia,AR,-54.8,-68.3,55.06,44,0,4.61,clear sky
27,Roma,US,43.2128,-75.4557,32.09,88,90,5.75,light snow
28,Cagli,IT,43.5457,12.6527,47.39,90,100,7.2,overcast clouds
29,Mao,ES,39.8885,4.2658,54.16,43,20,18.41,few clouds
30,Sao Filipe,CV,14.8961,-24.4956,76.87,66,100,10.29,overcast clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,80.56,78,88,8.66,overcast clouds
32,Hobart,AU,-42.8794,147.3294,54.01,75,75,9.22,broken clouds
33,Ramtek,IN,21.4,79.3333,66.96,65,2,5.41,clear sky
34,Upernavik,GL,72.7868,-56.1549,6.82,89,95,7.25,overcast clouds
35,Keflavik,IS,64.0049,-22.5624,36.03,87,75,25.32,broken clouds
36,Kindersley,CA,51.4668,-109.1682,38.98,74,40,13.8,scattered clouds
37,Dinguiraye,GN,11.3,-10.7167,75.13,21,64,1.12,broken clouds
38,Ponta Do Sol,PT,32.6667,-17.1,64.13,71,38,8.86,scattered clouds
39,Jining,CN,35.405,116.5814,41.34,82,27,4.92,scattered clouds
40,Klaksvik,FO,62.2266,-6.589,40.12,78,100,28.05,overcast clouds
41,Vaini,TO,-21.2,-175.2,80.76,78,20,9.22,few clouds
42,New Norfolk,AU,-42.7826,147.0587,53.65,68,5,1.59,clear sky
43,Yankton,US,42.8711,-97.3973,41.11,41,1,18.41,clear sky
44,Herre,NO,59.1,9.5667,32.05,96,100,8.86,light snow
45,Bethel,US,41.3712,-73.414,39.04,75,100,3.67,light rain
46,Cape Town,ZA,-33.9258,18.4232,70.12,70,0,1.01,clear sky
